,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102022,4317.560812046877,7682.075320452314,7486.739325853579,3625.7535474417646,3525.5230733999515,3598.8493326845783,7684.725754636061,7685.3915566136175,3452.328987103164,3410.434513527376,3433.652308623432,3499.043498250375,7289.441664340657,3620.762585400253,6076.563931545788,3420.186951631219,7415.771777182958,3326.782628160448,7490.388631458868,7009.200441341648,3519.0592997559597,7706.01416044775,3437.199009157799,4462.742280246836,3498.3859027648978,7323.883361248004,7565.853307594793,7384.2366074937,7384.252187594508,4671.781599681271,3229.948134874307,7098.968330397927,7565.428323002123,7632.591115205129,7844.8753081574605,3637.5296601701925,6235.578846794114,3447.496154393014,7448.85241719262,7503.4707615673315,7497.477563612687,3502.9729967917638,3473.780803857662,3638.324137921963,3304.925199056025,7914.202748117976,7467.403658507848,3458.082947854221,6325.169057878627,3354.6761575857
F112022,11359.670676647445,7471.42821162484,3661.8146265570485,6004.016359390367,4629.1467789820035,6385.764918909412,5339.234407917336,4871.825399241866,6367.463574203424,11802.466775042265,8336.160890947376,6492.397681724484,5162.496348527778,6928.60908558253,5672.946275199238,7463.183376635614,5944.6975279982635,8226.611440389934,5716.634730330413,12745.716603380024,6780.030756787205,3807.0387129555243,4529.081106014724,9619.206556016663,6939.899092029266,6076.397542538189,5258.848493347057,4864.680057708991,6668.471930844196,6547.853616282878,4104.872472998959,3675.8851778936696,4982.498181311421,5263.98278984951,7918.314442083048,6106.658259668189,3240.0173271993344,5391.886011339497,7102.865220442005,5714.298197324756,4524.235829407682,4866.67900188286,5181.768315785164,4456.57019120418,4945.244003895679,6131.026175516496,9222.526875355192,5234.807377802654,7185.84626987879,3869.1881885661696
F12022,58558.92584625827,65438.11399735013,41322.50182469923,56433.069906760706,42896.34849044282,56321.666235925375,52209.82146501881,70689.22648492924,60304.63095896649,43675.79295866353,43387.931126074414,31773.748964669187,48720.00803696592,65441.64282361457,53965.44825780123,58949.236556995216,59336.8940255225,44620.257539659884,50913.57735604905,58928.94108445632,52179.64064822139,52521.06419310027,36460.5909457945,57660.24824246467,64780.82147405599,38428.579760781635,28829.396450559194,43684.58037680075,48503.76195964369,43633.51911435527,36319.38551612343,54977.857087043034,56374.09533847151,45806.33021971303,31922.74430799402,42417.34999445395,60445.37791150962,48215.6496893337,39791.904116427504,47235.68589331433,46810.93968680449,59946.04068255341,59653.53357862277,43570.544649559364,57835.168101524854,56152.95280456057,43219.65673866404,44602.45394291254,55914.6382807378,55851.54021493334
F122022,3132.4093924225645,3120.762217736741,3215.078632230116,3551.8458630812775,3831.3281014717395,3358.6961693729277,3182.6683837628834,3530.214866025164,3760.9820778139865,3067.760128505162,3440.3639714075916,3129.2224378318356,3209.341931212353,3407.4059758154176,3426.5740033348225,3065.7338489823883,3254.8928744953355,3411.425561939851,3164.4868087324126,3427.4797125942678,3294.786689180612,3427.304102357415,3330.680579808901,3375.614595474215,3469.668936378962,3386.2559422898717,3087.1677678275314,3288.123936346654,3753.069681151007,3326.201116417666,3355.025195602332,3304.8607551701443,3103.39145297784,3354.7160013356206,3436.964758189629,3302.9441125195613,3449.257921574352,3195.1155098803147,3066.223689978765,3694.382798350452,3029.1275218086707,3197.9319467082883,3238.1559490198765,3095.2521197434176,3192.890637357323,3297.203146783324,3556.45646012248,3280.8524103000473,3253.484496533787,3201.3694047987747
F22022,3783.7347555876368,2611.220033850484,2588.9446461928574,3001.276314046229,2853.073696461922,1649.7395138974587,5018.652573159775,2233.1716917374124,4602.368819902163,2572.1835921127404,3746.089952251377,2745.0545336160285,3429.4303635699603,3097.763587894072,5806.554656777401,4284.504381403926,3106.2324104739587,4621.540139795383,2877.128496355166,3481.0825828285083,5058.646924607947,2355.7596168619166,2689.2466801896994,2663.6173755619325,5328.177336602501,4311.725334800255,3896.357835498369,4251.117606826421,4462.900788315925,1855.875168360901,4402.509391356703,3110.309233300185,2837.0134118914043,1871.6652899239866,3615.3275508215593,3888.82378999752,4791.721178093483,4263.488842958785,4400.815440762815,2710.834336636242,3658.0989320122276,2364.7159818147084,2368.6372242095285,6132.615616989535,2730.022574277211,4471.838545995448,2424.9954259233837,2715.8821044215065,3421.5915351924828,1503.1975438290979
F32022,601.787397012356,601.647346727738,601.4539846524608,601.6719392020796,601.3185166798773,601.5172618577227,601.36421269225,601.5236120111031,602.1116716915435,602.2813980516521,601.502276465438,602.0150731704347,601.0768908714502,602.278206480321,601.8104277166357,601.4760822293059,601.5462096293951,601.5178308205341,601.8154125369873,602.0671580631132,601.0616782440088,601.829928577875,601.6708540482801,601.7940968213309,602.0141788467004,601.8332749069016,602.2150778728334,600.9453910568634,601.6544089651456,601.468129534608,601.5347166119005,601.1835792410371,602.4354590026496,602.2192753988264,601.7846916994603,601.6064900542348,602.131397003397,601.6017325882847,601.4639770905419,601.6226205783306,601.9874829946114,601.5125209226528,601.6711893063192,601.5749063216878,601.5235871623357,601.5575861412926,601.5107158940964,601.5315310410012,602.1207341177311,601.8967086361197
F42022,1248.5,1311.0587776417278,1288.7583451630235,1228.5152569208994,1290.0,1211.089647910912,1265.791122466791,1290.8007465607477,1280.5348898640584,1245.247678907734,1224.970743961611,1286.9388950217626,1271.9197429877267,1282.6550582939212,1236.8675858988856,1202.545048021785,1082.9255194642565,1221.036854715065,1293.1696737184195,1162.2608790636555,1267.1474188672023,1225.414931462436,1253.4641272104122,1310.3394567178293,1221.1557166814039,1306.9789897706285,1261.4476175882305,1279.8657199638574,1241.2691299865267,1332.1927239431516,1270.044910951588,1294.5,1246.4600895050964,1256.316024724832,1259.2421255385484,1318.4817136321008,1162.543225146389,1262.4114452800693,1310.0842661973834,1223.9399535917114,1232.5034988730038,1267.9273220301009,1269.5085171032342,1261.2937183753584,1232.8657734496253,1255.8964356449937,1234.814505567638,1143.5985331464208,1228.3812086701855,1262.3537017752865
F52022,914.5326593147814,916.8982208040123,921.0953529963448,914.0772826233214,920.0560252387681,913.8355215961071,927.5606242691003,921.9774188571788,912.743165669744,922.4072065505223,924.6147826340989,926.476804759264,918.9540507768601,924.428661216237,910.5436456116396,924.0771815167001,920.8040595113081,922.5766719053574,921.1980876803606,922.5235743663486,919.5705311269111,917.142931268601,924.7677775430622,924.1487675852885,920.7809583606686,916.9943780133497,925.3818213197669,918.9597129251354,921.5889634850912,914.3825212700552,919.3246801563658,914.1351923158851,923.3125858073741,923.9386732125809,927.5630096386143,924.695487245027,925.2569207257733,926.3023407185755,911.7338310837295,923.2830365365078,912.9496030904223,924.2233902161827,921.589849091553,926.7458143381599,917.3941888439559,924.2999521031488,921.3118463925149,918.7469007461525,915.521425305258,919.4611085951274
F62022,1276365897.8482811,1138891008.1019433,2802827597.68206,1052981839.4143507,958868828.8694453,2043717261.0529068,845644556.2297615,81395327.14838557,1187002413.7431612,818858526.3936218,2069208533.8879466,427649303.7933064,1471046254.9224312,2987936988.3185687,1952612620.4112296,2898241994.5781336,1485466881.6778796,429645060.2022179,2010857753.2179928,332589403.34284455,152132668.12152958,3012272815.224702,4883624305.263281,1641431063.1432903,758135488.8766803,1820538521.33889,863118255.044574,669625906.9959607,668714855.565747,3150915631.8396063,2609881550.897344,171123704.42859104,1658550292.8846009,4005014465.1451044,2293214498.5825796,2285334968.6267643,776667634.2789197,3739092684.599692,4332408522.684268,2909033808.613413,4936123382.847101,79045398.9848423,1201082567.1191761,104133876.52015135,1263753174.2720118,4122843193.8507066,137178841.76220262,502789834.21847534,1724126148.7538278,410658330.0846264
F72022,3096.879874891948,3252.3482356113914,3536.680107555978,5509.557704439977,3844.362083679734,5049.977349358498,4574.190195225183,4315.040356643836,5262.8997872995915,8650.019858528263,9257.862222677497,4918.0017384142575,6224.839304152228,7588.508022855747,6522.199068889079,4710.422414164994,6534.293222806364,3684.6348260538,4666.754829570258,5666.66039614256,5073.636577212192,3128.9788152392325,6394.4866878122675,5465.055370816872,5584.371440873865,6087.922846701771,4991.642527894002,5125.542453187099,5236.526292452756,5443.012939323531,4597.531913593108,6162.407793907696,5616.8590372998215,5678.35786630276,4193.4131333980295,3949.3019565827317,7942.170632933516,8888.796020921676,5259.748261249981,5010.482077339026,5566.0681734522295,3605.18512749099,4450.944673822147,4659.349152050516,5532.94296484959,4193.546510349781,6058.964430895253,6438.3521299525355,4439.7836505394425,4065.7653551798285
F82022,115545851354.58003,5562130123.726774,561050.0697260539,10255132202.747896,42886.81005075502,1797196.6893702925,320573167074.88007,14367.959916605965,128061768.72355251,222269070.60206613,19652.320188953527,2492621.502501208,15331.483442466933,1163334499.8518753,4593894300.085592,24381.200911417345,91676342714.49367,223129.06115708844,1262391404.966837,4987127.837339903,32849744.255781993,520824.5528189417,1389460516.1381955,12836205.75722551,4588212855.394944,543252501.3826538,2138443.824102043,50549.072896108235,54025.65386298309,6439471230.341228,10258337224.83905,17142352.558660593,345282207045.85443,26388542.180477623,13213432430.641571,10105075177.547058,36065742.93572497,6307717813.731504,5813713858.450644,354176.4384526728,42940998171.77513,149977356817.7607,214955.8579937642,16174.547751594235,3557304409.382544,27756120.701671645,896724041.0635424,54788.521230055994,4498180599.970168,10680894.314953217
F92022,4601.161920492603,4463.214011672662,3472.283903109719,4248.337201384449,4188.301156198417,4030.848185382565,4035.9157195754183,4216.281705101739,3110.7056091878467,4672.279994074895,5107.823064453893,3318.0977403370925,3929.0772716842384,4254.217134649678,3185.3381913601315,5570.397276484599,3525.2855962710264,4114.342858918574,5368.981411825739,4275.703445951142,4264.675870733146,5415.764016745567,3939.7038459168807,2862.01047295069,3890.6145598274265,3801.7571016520333,5401.190170189564,3547.3642922779213,4380.79439377386,4761.851804439979,4530.017334784078,3694.9626472176587,3810.8564542657145,3729.9246575613315,5528.776599258148,3624.9568389484343,4943.6537278613605,4525.6106556538725,3982.435052815432,5372.335618092702,3485.933630312874,3657.998635262299,4147.403041843786,3306.009102645309,4447.454931823502,3515.2364439646144,3343.7302675902583,3766.779229602788,3749.9546004247068,3788.7224505011263
