Function,WOA_GA_Mean,WOA_GA_Std,WOA_PSO_Mean,WOA_PSO_Std,WOA_Cros_Mean,WOA_Cros_Std,WOA_Mut_Mean,WOA_Mut_Std,WOA_original_Mean,WOA_original_Std,WOA_Cros_Rank,WOA_GA_Rank,WOA_PSO_Rank,WOA_Mut_Rank,WOA_original_Rank
F102022,5069.522471,1152.569292,5341.695337,1317.947833,3869.912955,1338.37967,5866.32989,1173.247949,6462.945898,926.374941,1,2,3,4,5
F112022,3461.435565,738.857543,3104.79277,736.016277,3158.501547,684.846764,3231.52864,755.918525,4872.96937,1429.852703,2,4,1,3,5
F12022,14359.529093,4755.542148,2732.508531,1441.766499,5192.576264,1864.115483,14990.68186,4719.347812,29416.176706,9588.290803,2,3,1,4,5
F122022,3276.99265,209.424676,3100.7797,82.497547,3073.13425,69.150934,3202.973716,199.04138,3348.602358,251.371991,1,4,2,3,5
F22022,784.706204,160.590317,619.979024,70.778,637.220282,80.513661,805.313464,117.312372,1519.449867,513.042551,2,3,1,4,5
F32022,600.360334,0.233385,600.039776,0.026432,600.089511,0.076022,600.255233,0.142171,600.774086,0.254287,2,4,1,3,5
F42022,1093.540333,72.6933,1048.08095,73.677768,1037.748995,72.232862,1089.458277,60.748212,1122.821124,63.845727,1,4,2,3,5
F52022,907.265355,3.795628,905.945805,3.138843,906.590673,3.204008,906.38873,3.640663,908.440546,3.403321,3,4,1,2,5
F62022,38737118.273185,109379847.568469,68324058.479922,425527875.064791,1281618.14719,2221135.092559,45418408.398277,58169029.141181,550363343.386058,572356210.043928,1,2,4,3,5
F72022,3222.711285,975.953779,2640.709627,361.293474,2491.133688,330.080467,3436.714905,936.391528,4253.471461,1192.515832,1,3,2,4,5
F82022,27545.892701,139379.686634,5801.463001,2499.613498,5397.053685,1605.712106,734758.072264,2413101.641167,1921509205.766354,8668815152.74175,1,3,2,4,5
F92022,2944.810356,150.391319,3051.896783,635.64711,2797.047857,100.972459,3131.903928,304.109473,3389.608127,315.510713,1,2,3,4,5
