Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F102022,GA,PSO,0.06347,No
F102022,GA,GWO,0.0,Yes
F102022,GA,DA,0.0,Yes
F102022,GA,BOA,0.0,Yes
F102022,GA,FOA,0.00198,Yes
F102022,PSO,GWO,0.0,Yes
F102022,PSO,DA,0.0,Yes
F102022,PSO,BOA,0.0,Yes
F102022,PSO,FOA,1e-05,Yes
F102022,GWO,DA,0.0,Yes
F102022,GWO,BOA,0.0,Yes
F102022,GWO,FOA,0.01057,Yes
F102022,DA,BOA,0.64588,No
F102022,DA,FOA,0.0,Yes
F102022,BOA,FOA,0.0,Yes
F112022,GA,PSO,0.89345,No
F112022,GA,GWO,0.0,Yes
F112022,GA,DA,0.0,Yes
F112022,GA,BOA,0.0,Yes
F112022,GA,FOA,0.0,Yes
F112022,PSO,GWO,0.0,Yes
F112022,PSO,DA,0.0,Yes
F112022,PSO,BOA,0.0,Yes
F112022,PSO,FOA,0.0,Yes
F112022,GWO,DA,0.70895,No
F112022,GWO,BOA,0.0,Yes
F112022,GWO,FOA,9e-05,Yes
F112022,DA,BOA,0.0,Yes
F112022,DA,FOA,0.00119,Yes
F112022,BOA,FOA,0.0,Yes
F12022,GA,PSO,0.0,Yes
F12022,GA,GWO,0.03902,Yes
F12022,GA,DA,0.0,Yes
F12022,GA,BOA,0.00026,Yes
F12022,GA,FOA,0.0,Yes
F12022,PSO,GWO,0.0,Yes
F12022,PSO,DA,0.0,Yes
F12022,PSO,BOA,0.0,Yes
F12022,PSO,FOA,0.0,Yes
F12022,GWO,DA,2e-05,Yes
F12022,GWO,BOA,0.07238,No
F12022,GWO,FOA,0.00996,Yes
F12022,DA,BOA,0.34721,No
F12022,DA,FOA,0.02012,Yes
F12022,BOA,FOA,0.68064,No
F122022,GA,PSO,0.0,Yes
F122022,GA,GWO,0.0,Yes
F122022,GA,DA,0.0,Yes
F122022,GA,BOA,0.0,Yes
F122022,GA,FOA,0.00038,Yes
F122022,PSO,GWO,0.0,Yes
F122022,PSO,DA,0.0,Yes
F122022,PSO,BOA,0.0,Yes
F122022,PSO,FOA,0.0,Yes
F122022,GWO,DA,0.00939,Yes
F122022,GWO,BOA,0.0,Yes
F122022,GWO,FOA,0.0,Yes
F122022,DA,BOA,0.0,Yes
F122022,DA,FOA,0.00178,Yes
F122022,BOA,FOA,0.0,Yes
F22022,GA,PSO,0.0,Yes
F22022,GA,GWO,0.0,Yes
F22022,GA,DA,0.0,Yes
F22022,GA,BOA,0.0,Yes
F22022,GA,FOA,0.0,Yes
F22022,PSO,GWO,0.0,Yes
F22022,PSO,DA,0.0,Yes
F22022,PSO,BOA,0.0,Yes
F22022,PSO,FOA,0.0,Yes
F22022,GWO,DA,0.0,Yes
F22022,GWO,BOA,0.0,Yes
F22022,GWO,FOA,0.0,Yes
F22022,DA,BOA,0.98473,No
F22022,DA,FOA,0.02359,Yes
F22022,BOA,FOA,0.16589,No
F32022,GA,PSO,0.0,Yes
F32022,GA,GWO,0.0,Yes
F32022,GA,DA,0.0,Yes
F32022,GA,BOA,0.0,Yes
F32022,GA,FOA,0.0,Yes
F32022,PSO,GWO,0.0,Yes
F32022,PSO,DA,0.0,Yes
F32022,PSO,BOA,0.0,Yes
F32022,PSO,FOA,0.0,Yes
F32022,GWO,DA,0.0,Yes
F32022,GWO,BOA,0.0,Yes
F32022,GWO,FOA,0.01856,Yes
F32022,DA,BOA,0.00017,Yes
F32022,DA,FOA,1e-05,Yes
F32022,BOA,FOA,0.0,Yes
F42022,GA,PSO,0.10525,No
F42022,GA,GWO,0.00809,Yes
F42022,GA,DA,0.0,Yes
F42022,GA,BOA,0.0,Yes
F42022,GA,FOA,0.0,Yes
F42022,PSO,GWO,0.75215,No
F42022,PSO,DA,0.0,Yes
F42022,PSO,BOA,0.0,Yes
F42022,PSO,FOA,0.0,Yes
F42022,GWO,DA,0.0,Yes
F42022,GWO,BOA,0.0,Yes
F42022,GWO,FOA,0.0,Yes
F42022,DA,BOA,0.0,Yes
F42022,DA,FOA,0.00716,Yes
F42022,BOA,FOA,0.0,Yes
F52022,GA,PSO,0.1781,No
F52022,GA,GWO,1e-05,Yes
F52022,GA,DA,0.0,Yes
F52022,GA,BOA,0.0,Yes
F52022,GA,FOA,0.0,Yes
F52022,PSO,GWO,2e-05,Yes
F52022,PSO,DA,0.0,Yes
F52022,PSO,BOA,0.0,Yes
F52022,PSO,FOA,0.0,Yes
F52022,GWO,DA,0.0,Yes
F52022,GWO,BOA,0.0,Yes
F52022,GWO,FOA,0.0,Yes
F52022,DA,BOA,0.87079,No
F52022,DA,FOA,0.49033,No
F52022,BOA,FOA,0.38818,No
F62022,GA,PSO,0.0,Yes
F62022,GA,GWO,0.0,Yes
F62022,GA,DA,0.0,Yes
F62022,GA,BOA,0.0,Yes
F62022,GA,FOA,0.0,Yes
F62022,PSO,GWO,0.0,Yes
F62022,PSO,DA,0.0,Yes
F62022,PSO,BOA,0.0,Yes
F62022,PSO,FOA,0.0,Yes
F62022,GWO,DA,4e-05,Yes
F62022,GWO,BOA,0.0,Yes
F62022,GWO,FOA,0.00236,Yes
F62022,DA,BOA,0.0,Yes
F62022,DA,FOA,0.0,Yes
F62022,BOA,FOA,0.0,Yes
F72022,GA,PSO,0.00082,Yes
F72022,GA,GWO,0.0,Yes
F72022,GA,DA,0.0,Yes
F72022,GA,BOA,0.0,Yes
F72022,GA,FOA,0.0,Yes
F72022,PSO,GWO,0.0,Yes
F72022,PSO,DA,0.0,Yes
F72022,PSO,BOA,0.0,Yes
F72022,PSO,FOA,0.0,Yes
F72022,GWO,DA,0.0,Yes
F72022,GWO,BOA,0.0,Yes
F72022,GWO,FOA,0.78875,No
F72022,DA,BOA,0.00055,Yes
F72022,DA,FOA,0.0,Yes
F72022,BOA,FOA,0.0,Yes
F82022,GA,PSO,0.0,Yes
F82022,GA,GWO,0.05936,No
F82022,GA,DA,0.0,Yes
F82022,GA,BOA,0.0,Yes
F82022,GA,FOA,0.46647,No
F82022,PSO,GWO,0.0,Yes
F82022,PSO,DA,0.0,Yes
F82022,PSO,BOA,0.0,Yes
F82022,PSO,FOA,0.0,Yes
F82022,GWO,DA,0.0,Yes
F82022,GWO,BOA,0.0,Yes
F82022,GWO,FOA,0.03049,Yes
F82022,DA,BOA,0.0,Yes
F82022,DA,FOA,0.0,Yes
F82022,BOA,FOA,0.0,Yes
F92022,GA,PSO,2e-05,Yes
F92022,GA,GWO,0.0,Yes
F92022,GA,DA,0.0,Yes
F92022,GA,BOA,0.0,Yes
F92022,GA,FOA,0.0,Yes
F92022,PSO,GWO,0.0,Yes
F92022,PSO,DA,0.0,Yes
F92022,PSO,BOA,0.0,Yes
F92022,PSO,FOA,0.0,Yes
F92022,GWO,DA,0.00051,Yes
F92022,GWO,BOA,0.0,Yes
F92022,GWO,FOA,0.0,Yes
F92022,DA,BOA,0.0,Yes
F92022,DA,FOA,0.00673,Yes
F92022,BOA,FOA,0.0,Yes
